produce_slug,region_slug,season_months,peak_months,source_type,notes,storage_tip
apple,sacramento-valley,"[7, 8, 9, 10, 11]","[8, 9, 10]",local,Northern CA varieties like Gravenstein arrive first in July. Fuji and Granny Smith peak in fall.,Refrigerate in a plastic bag; keeps 1-2 months. Keep away from other produce — apples emit ethylene.
apple,sierra-foothills,"[7, 8, 9, 10, 11]","[8, 9, 10]",local,Northern CA varieties like Gravenstein arrive first in July. Fuji and Granny Smith peak in fall.,Refrigerate in a plastic bag; keeps 1-2 months. Keep away from other produce — apples emit ethylene.
apple,sacramento-valley,"[1, 2, 3, 12]",[],local,Northern CA varieties like Gravenstein arrive first in July. Fuji and Granny Smith peak in fall.,Refrigerate in a plastic bag; keeps 1-2 months. Keep away from other produce — apples emit ethylene.
apple,sierra-foothills,"[1, 2, 3, 12]",[],local,Northern CA varieties like Gravenstein arrive first in July. Fuji and Granny Smith peak in fall.,Refrigerate in a plastic bag; keeps 1-2 months. Keep away from other produce — apples emit ethylene.
apricot,central-valley,"[5, 6, 7]",[6],local,"Blenheim/Royal is THE gold standard — complex sweet-tart, honeysuckle notes, Slow Food Ark of Taste. Season is often just 10 days in late June. Farmers market ONLY. Patterson dominates commercial — bred for machine harvest, not flavor.","Ripen at room temp, then refrigerate. Eat within 2-3 days of ripening."
artichoke,central-coast,"[1, 2, 3, 4, 5, 6]","[3, 4, 5]",local,"Castroville, CA is the artichoke capital of the world. Spring crop is larger and more tender than fall.",Refrigerate unwashed in a plastic bag for up to a week. Sprinkle with water to keep fresh.
artichoke,central-coast,"[9, 10, 11]",[10],local,"Castroville, CA is the artichoke capital of the world. Spring crop is larger and more tender than fall.",Refrigerate unwashed in a plastic bag for up to a week. Sprinkle with water to keep fresh.
arugula,salinas-valley,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[3, 4, 5]",local,Available year-round in CA but peppery flavor is best in cool weather. Bolts and turns bitter in summer heat.,Wrap in damp paper towel and refrigerate. Best used within 3-4 days.
asian-pear,central-valley,"[8, 9, 10, 11, 12]","[9, 10]",local,"Crisp like an apple, fragrant like a pear. Unlike European pears, these are eaten firm, not soft.",Refrigerate immediately — keeps up to 3 months in the crisper drawer.
asian-pear,sacramento-valley,"[8, 9, 10, 11, 12]","[9, 10]",local,"Crisp like an apple, fragrant like a pear. Unlike European pears, these are eaten firm, not soft.",Refrigerate immediately — keeps up to 3 months in the crisper drawer.
